기준일자,박스오피스순위,영화명,해당일관객수,누적관객수,스크린수,상영횟수
2026-09-08,1,오디세이,76675,10192012,1590,4654
2026-09-08,2,옵세션,26367,239527,681,1587
2026-09-08,3,스파이더맨: 브랜드 뉴 데이,13287,8819167,669,1595
2026-09-08,4,비광,6559,82428,552,985
2026-09-08,5,싱 어게인,5490,67281,538,773
2026-09-08,6,경주기행,4926,308324,537,935
2026-09-08,7,왕과 사는 남자,1825,16924757,12,14
2026-09-08,8,오크 스트리트의 마지막 날,1032,132622,163,180
2026-09-08,9,인 더 그레이,1011,10211,130,205
2026-09-08,10,사진의 얼굴,801,4831,60,71
2026-09-07,1,오디세이,87379,10115337,1560,4665
2026-09-07,2,옵세션,28062,213160,660,1577
2026-09-07,3,스파이더맨: 브랜드 뉴 데이,13865,8805880,655,1622
2026-09-07,4,싱 어게인,5860,61791,552,807
2026-09-07,5,경주기행,5805,303398,539,979
2026-09-07,6,비광,4477,75869,526,933
2026-09-07,7,오크 스트리트의 마지막 날,1089,131590,167,186
2026-09-07,8,명탐정 코난: 하이웨이의 타천사,905,421534,162,174
2026-09-07,9,인 더 그레이,820,9200,129,202
2026-09-07,10,왕과 사는 남자,600,16922932,3,4
2026-09-06,1,오디세이,259735,10027958,1841,5914
2026-09-06,2,스파이더맨: 브랜드 뉴 데이,54890,8792015,725,1891
2026-09-06,3,옵세션,51463,185098,717,1566
2026-09-06,4,경주기행,17834,297593,612,1041
2026-09-06,5,비광,14419,71392,610,1072
2026-09-06,6,싱 어게인,12004,55931,556,761
2026-09-06,7,사랑의 하츄핑: 고래보석의 전설,8034,858707,344,405
2026-09-06,8,명탐정 코난: 하이웨이의 타천사,2942,420629,183,207
2026-09-06,9,오크 스트리트의 마지막 날,2433,130501,199,235
2026-09-06,10,모모와 다락방의 수상한 요괴들,2274,310413,102,108
2026-09-05,1,오디세이,301242,9768223,1858,6210
2026-09-05,2,스파이더맨: 브랜드 뉴 데이,63671,8737125,720,1981
2026-09-05,3,옵세션,55420,133635,702,1552
2026-09-05,4,경주기행,19641,279759,625,1074
